Date,Province,Total Confirmed Case Count Till Date,Daily Case Count,Total Death Count Till Date,Daily Death Count,Total Recovery Count Till Date,Daily Recovery Count,Total Active Cases,Cases Today Added Or Reduced,Total Incidence Rate,Incidence Rate Today,Total CF Ratio,CF Ratio Today
5th August 2021,Sindh,392433,+2734,6098,+29,339379,+5729,46956,-3024,819.51,+5.71,1.55,-0.00
4th August 2021,Sindh,389699,+2438,6069,+12,333650,+449,49980,+1977,813.80,+5.09,1.56,-0.01
3rd August 2021,Sindh,387261,+1847,6057,+36,333201,+424,48003,+1387,808.71,+3.86,1.56,+0.00
2nd August 2021,Sindh,385414,+2549,6021,+20,332777,+368,46616,+2161,804.86,+5.32,1.56,-0.01
1st August 2021,Sindh,382865,+2772,6001,+30,332409,+607,44455,+2135,799.53,+5.79,1.57,-0.00
31st July 2021,Sindh,380093,+2862,5971,+24,331802,+493,42320,+2345,793.74,+5.98,1.57,-0.01
30th July 2021,Sindh,377231,+2797,5947,+44,331309,+473,39975,+2280,787.77,+5.84,1.58,-0.00
29th July 2021,Sindh,374434,+2672,5903,+43,330836,+670,37695,+1959,781.93,+5.58,1.58,+0.00
28th July 2021,Sindh,371762,+2517,5860,+20,330166,+5960,35736,-3463,776.35,+5.26,1.58,-0.01
27th July 2021,Sindh,369245,+2153,5840,+7,324206,+621,39199,+1525,771.09,+4.50,1.58,-0.01
26th July 2021,Sindh,367092,+2308,5833,+19,323585,+799,37674,+1490,766.59,+4.82,1.59,-0.00
25th July 2021,Sindh,364784,+2602,5814,+29,322786,+857,36184,+1716,761.78,+5.43,1.59,-0.00
24th July 2021,Sindh,362182,+0,5785,+0,321929,+0,34468,+0,756.34,-0.00,1.60,+0.00
23rd July 2021,Sindh,362182,+1022,5785,+1,321929,+152,34468,+869,756.34,+2.13,1.60,-0.00
22nd July 2021,Sindh,361160,+1336,5784,+28,321777,+346,33599,+962,754.21,+2.79,1.60,+0.00
21st July 2021,Sindh,359824,+1648,5756,+19,321431,+338,32637,+1291,751.42,+3.44,1.60,-0.00
20th July 2021,Sindh,358176,+1247,5737,+17,321093,+493,31346,+737,747.98,+2.60,1.60,-0.00
19th July 2021,Sindh,356929,+1467,5720,+18,320600,+385,30609,+1064,745.37,+3.06,1.60,-0.00
18th July 2021,Sindh,355462,+1359,5702,+5,320215,+389,29545,+965,742.31,+2.84,1.60,-0.00
17th July 2021,Sindh,354103,+1631,5697,+25,319826,+381,28580,+1225,739.47,+3.41,1.61,-0.00
16th July 2021,Sindh,352472,+1466,5672,+25,319445,+649,27355,+792,736.06,+3.06,1.61,+0.00
15th July 2021,Sindh,351006,+1420,5647,+26,318796,+420,26563,+974,733.00,+2.97,1.61,+0.00
14th July 2021,Sindh,349586,+1201,5621,+8,318376,+535,25589,+658,730.04,+2.51,1.61,-0.00
13th July 2021,Sindh,348385,+907,5613,+6,317841,+174,24931,+727,727.53,+1.89,1.61,-0.00
12th July 2021,Sindh,347478,+1118,5607,+8,317667,+256,24204,+854,725.64,+2.33,1.61,-0.00
11th July 2021,Sindh,346360,+1091,5599,+16,317411,+551,23350,+524,723.30,+2.28,1.62,-0.00
10th July 2021,Sindh,345269,+1046,5583,+17,316860,+579,22826,+450,721.02,+2.18,1.62,+0.00
9th July 2021,Sindh,344223,+920,5566,+14,316281,+398,22376,+508,718.84,+1.92,1.62,-0.00
8th July 2021,Sindh,343303,+1075,5552,+16,315883,+505,21868,+554,716.92,+2.24,1.62,-0.00
7th July 2021,Sindh,342228,+953,5536,+8,315378,+441,21314,+504,714.67,+1.99,1.62,-0.00
6th July 2021,Sindh,341275,+373,5528,+8,314937,+341,20810,+24,712.68,+0.78,1.62,+0.00
5th July 2021,Sindh,340902,+940,5520,+8,314596,+157,20786,+775,711.90,+1.96,1.62,-0.00
4th July 2021,Sindh,339962,+694,5512,+15,314439,+571,20011,+108,709.94,+1.45,1.62,+0.00
3rd July 2021,Sindh,339268,+881,5497,+19,313868,+492,19903,+370,708.49,+1.84,1.62,+0.00
2nd July 2021,Sindh,338387,+713,5478,+14,313376,+640,19533,+59,706.65,+1.49,1.62,+0.00
1st July 2021,Sindh,337674,+622,5464,+24,312736,+399,19474,+199,705.16,+1.30,1.62,+0.00
30th June 2021,Sindh,337052,+545,5440,+13,312337,+558,19275,-26,703.86,+1.14,1.61,+0.00
29th June 2021,Sindh,336507,+431,5427,+9,311779,+405,19301,+17,702.72,+0.90,1.61,+0.00
28th June 2021,Sindh,336076,+521,5418,+8,311374,+369,19284,+144,701.82,+1.09,1.61,-0.00
27th June 2021,Sindh,335555,+511,5410,+3,311005,+909,19140,-401,700.74,+1.07,1.61,-0.00
26th June 2021,Sindh,335044,+591,5407,+15,310096,+600,19541,-24,699.67,+1.23,1.61,+0.00
25th June 2021,Sindh,334453,+655,5392,+24,309496,+426,19565,+205,698.44,+1.37,1.61,+0.00
24th June 2021,Sindh,333798,+604,5368,+10,309070,+501,19360,+93,697.07,+1.26,1.61,+0.00
23rd June 2021,Sindh,333194,+517,5358,+14,308569,+789,19267,-286,695.81,+1.08,1.61,+0.00
22nd June 2021,Sindh,332677,+423,5344,+3,307780,+482,19553,-62,694.73,+0.88,1.61,-0.00
21st June 2021,Sindh,332254,+1160,5341,+27,307298,+1365,19615,-232,693.84,+2.42,1.61,+0.00
20th June 2021,Sindh,331094,+0,5314,+0,305933,+0,19847,+0,691.42,+0.00,1.60,+0.00
19th June 2021,Sindh,331094,+542,5314,+8,305933,+514,19847,+20,691.42,+1.13,1.60,-0.00
18th June 2021,Sindh,330552,+605,5306,+14,305419,+722,19827,-131,690.29,+1.26,1.61,+0.00
17th June 2021,Sindh,329947,+668,5292,+19,304697,+3816,19958,-3167,689.03,+1.39,1.60,+0.00
16th June 2021,Sindh,329279,+616,5273,+17,300881,+792,23125,-193,687.63,+1.29,1.60,+0.00
15th June 2021,Sindh,328663,+479,5256,+13,300089,+643,23318,-177,686.34,+1.00,1.60,+0.00
14th June 2021,Sindh,328184,+580,5243,+7,299446,+271,23495,+302,685.34,+1.21,1.60,-0.00
13th June 2021,Sindh,327604,+583,5236,+16,299175,+831,23193,-264,684.13,+1.22,1.60,+0.00
12th June 2021,Sindh,327021,+608,5220,+24,298344,+798,23457,-214,682.91,+1.27,1.60,+0.00
11th June 2021,Sindh,326413,+675,5196,+13,297546,+725,23671,-63,681.65,+1.41,1.59,+0.00
10th June 2021,Sindh,325738,+628,5183,+19,296821,+574,23734,+35,680.24,+1.31,1.59,+0.00
9th June 2021,Sindh,325110,+575,5164,+20,296247,+743,23699,-188,678.92,+1.20,1.59,+0.00
8th June 2021,Sindh,324535,+707,5144,+8,295504,+668,23887,+31,677.72,+1.48,1.59,-0.00
7th June 2021,Sindh,323828,+756,5136,+20,294836,+579,23856,+157,676.25,+1.58,1.59,+0.00
6th June 2021,Sindh,323072,+722,5116,+11,294257,+747,23699,-36,674.67,+1.51,1.58,-0.00
5th June 2021,Sindh,322350,+925,5105,+16,293510,+1509,23735,-600,673.16,+1.93,1.58,+0.00
4th June 2021,Sindh,321425,+937,5089,+16,292001,+1361,24335,-440,671.23,+1.96,1.58,+0.00
3rd June 2021,Sindh,320488,+1041,5073,+22,290640,+1238,24775,-219,669.27,+2.17,1.58,+0.00
2nd June 2021,Sindh,319447,+868,5051,+12,289402,+1674,24994,-818,667.10,+1.81,1.58,-0.00
1st June 2021,Sindh,318579,+914,5039,+19,287728,+684,25812,+211,665.29,+1.91,1.58,+0.00
31st May 2021,Sindh,317665,+913,5020,+6,287044,+286,25601,+621,663.38,+1.91,1.58,-0.00
30th May 2021,Sindh,316752,+1342,5014,+11,286758,+783,24980,+548,661.47,+2.80,1.58,-0.00
29th May 2021,Sindh,315410,+1252,5003,+15,285975,+572,24432,+665,658.67,+2.61,1.59,-0.00
28th May 2021,Sindh,314158,+1099,4988,+22,285403,+708,23767,+369,656.05,+2.30,1.59,+0.00
27th May 2021,Sindh,313059,+1293,4966,+24,284695,+1012,23398,+257,653.76,+2.70,1.59,+0.00
26th May 2021,Sindh,311766,+1209,4942,+6,283683,+1273,23141,-70,651.06,+2.52,1.59,-0.00
25th May 2021,Sindh,310557,+910,4936,+16,282410,+814,23211,+80,648.53,+1.90,1.59,+0.00
24th May 2021,Sindh,309647,+1529,4920,+11,281596,+599,23131,+919,646.63,+3.19,1.59,-0.00
23rd May 2021,Sindh,308118,+1411,4909,+18,280997,+830,22212,+563,643.44,+2.95,1.59,-0.00
22nd May 2021,Sindh,306707,+2136,4891,+22,280167,+979,21649,+1135,640.49,+4.46,1.59,-0.00
21st May 2021,Sindh,304571,+1248,4869,+15,279188,+908,20514,+325,636.03,+2.61,1.60,-0.00
20th May 2021,Sindh,303323,+2076,4854,+19,278280,+611,20189,+1446,633.43,+4.34,1.60,-0.00
19th May 2021,Sindh,301247,+1334,4835,+11,277669,+927,18743,+396,629.09,+2.79,1.60,-0.00
18th May 2021,Sindh,299913,+719,4824,+23,276742,+666,18347,+30,626.31,+1.50,1.61,+0.00
17th May 2021,Sindh,299194,+1116,4801,+7,276076,+487,18317,+622,624.80,+2.33,1.60,-0.00
16th May 2021,Sindh,298078,+1000,4794,+1,275589,+2386,17695,-1387,622.47,+2.09,1.61,-0.01
15th May 2021,Sindh,297078,+714,4793,+13,273203,+340,19082,+361,620.39,+1.49,1.61,+0.00
14th May 2021,Sindh,296364,+881,4780,+2,272863,+649,18721,+230,618.89,+1.84,1.61,-0.00
13th May 2021,Sindh,295483,+1232,4778,+13,272214,+633,18491,+586,617.05,+2.57,1.62,-0.00
12th May 2021,Sindh,294251,+825,4765,+12,271581,+871,17905,-58,614.48,+1.72,1.62,-0.00
11th May 2021,Sindh,293426,+782,4753,+11,270710,+890,17963,+255,612.76,+3.67,1.62,-0.00
10th May 2021,Sindh,292644,+976,4742,+16,269820,+586,17708,+0,609.09,+0.00,1.62,+0.00
9th May 2021,Sindh,291668,+912,4726,+4,269234,+676,17708,+232,609.09,+1.90,1.62,-0.00
8th May 2021,Sindh,290756,+1110,4722,+24,268558,+1034,17476,+52,607.18,+2.32,1.62,+0.00
7th May 2021,Sindh,289646,+2003,4698,+11,267524,+1136,17424,+856,604.87,+4.18,1.62,-0.01
6th May 2021,Sindh,287643,+1122,4687,+9,266388,+612,16568,+501,600.68,+2.34,1.63,-0.00
5th May 2021,Sindh,286521,+0,4678,+0,265776,+0,16067,+0,598.34,+0.00,1.63,+0.00
4th May 2021,Sindh,286521,+895,4678,+11,265776,+500,16067,+384,598.34,+1.87,1.63,-0.00
3rd May 2021,Sindh,285626,+888,4667,+9,265276,+444,15683,+435,596.47,+1.85,1.63,-0.00
2nd May 2021,Sindh,284738,+1178,4658,+13,264832,+418,15248,+747,594.62,+2.46,1.64,-0.00
1st May 2021,Sindh,283560,+1115,4645,+12,264414,+362,14501,+741,592.16,+2.33,1.64,-0.00
30th April 2021,Sindh,282445,+1060,4633,+4,264052,+279,13760,+777,589.83,+2.21,1.64,-0.00
